,time,closeBTC,closeETH,close,closeLTC,closeLUNA,closeAVAX,closeBCH,closeALGO,closeADA,closeBNB,closeXRP,closeSOL,closeDOT,closeUNI,closeBUSD,closeUSDC,closeLINK,closeATOM,closeWBTC,closeICP,closeMATIC,closeFIL,closeXLM,closeTRX,closeFTT,closeETC,closeVET,closeDAI,closeTHETA,closeXTZ,closeEGLD,closeBTCB,closeCAKE,closeXMR,closeCRO,closeXYM,closeNEAR,closeEOS,closeQNT,closeAXS,closeAXS,closeAAVE,closeHBAR,closeMIOTA,closeGRT,closeFTM,closeNEO,closeSHIB,closeKSM,closeLEO,closeKLAY,closeBSV,closeUST,closeWAVES,closeMKR,closeCELO,closeBTT,closeAMP,closeCOMP,closeHT,closeRUNE,closeDASH,closeHNT,closeAR,closeCHZ,closeSTX,closeREV,closeONE,closeDCR,closeZEC,closeXDC,closeTFUEL,closeHOT,closeXEM,closeTUSD,closeMANA,closeSNX,closeOMG,closeSUSHI,closeENJ,closeCEL,closeFLOW,closeIOST,closeYGG,closeCRV,closeYFI,closeICX,closeZIL,closeQTUM,closeBAT,closeRVN,closeOKB,closeBTG,closeMDX,closeUSDP,closeTEL,closeAUDIO,closePERP,closeZEN,closeKCS,closeREN,closeBNT,closeNEXO,closeCELR,closeZRX,closeTWT,closeSC,closeONT,closeDGB,closeVGX,closeRENBTC,closeNANO,closeANKR,closeCHSB,closeSAND,closeUMA,closeFET,closeLRC,closeIOTX,closeKAVA,closeUSDN,close1INCH,closeGLM,closeERG,closeHUSD,closeUBT,closeCOTI,closeRSR,closeOCEAN,closeNMR,closeSXP,closeXDB,closeWAXP,closeSRM,closeETN,closeELF,closeDENT,closeSKL,closeLSK,closeGNO,closeVLX,closeXYO,closeCKB,closeANC,closePOLY,closeALPHA,closeLPT,closeXCH,closeGT,closeSTORJ,closeDAG,closeCVC,closeXVG,closeVTHO,closeBEST,closeWRX,closeWIN,closeBCD,closeBAKE,closeINJ,closePAXG,closeCTC,closeOGN,closeSNT,closeSTMX,closeSTRAX,closeONG,closeXVS,closeXWC,closeROSE,closePROM,closeREEF,closeBAND,closeRLC,closeEWT,closeDFI,closeMLN,closeORBS,closeALICE,closeCTSI,closeHIVE,closeREP,closeOXT,closeARK,closeDERO,closePHA,closeNKN,closeFUN,closeCSPR,closeMAID,closeREQ,closeSTEEM,closeANT,closeMTL,closeNU,closeTOMO,closeTITAN,closeTRAC,closeNOIA,closeBADGER
0,2021-10-03 09:00:00,47840.94,3391.34,0.2175,167.65,43.8,69.75,550.65,1.798,2.25,425.18,1.037,171.39,31.78,25.88,0.9998,1.001,26.83,39.28,47840.94,49.6,1.298,69.08,0.313,0.09396,56.06,53.02,0.1105,1.001,6.047,8.691,244.28,0.0,19.68,254.51,0.1781,0.1492,8.042,4.348,320.55,107.09,107.09,312.6,0.3993,1.289,0.7278,1.464,42.35,7.93e-06,348.68,2.951,1.221,139.31,1.002,27.44,2491.16,6.31,0.003418,0.04921,336.4,7.888,8.46,174.67,18.89,55.73,0.2863,1.345,0.01818,0.1709,115.25,114.67,0.1307,0.2936,0.008644,0.1611,1.0,0.7569,10.84,17.06,10.92,1.511,5.774,18.39,0.05497,7.205,2.732,31611.08,2.244,0.09997,14.19,0.712,0.1115,17.94,57.65,1.302,0.999,0.01709,2.385,15.18,75.97,10.75,1.181,3.825,1.643,0.143,1.016,1.079,0.01592,0.8503,0.04846,2.417,47840.94,5.098,0.08606,0.6667,0.7741,10.06,0.8032,0.4015,0.06287,6.215,1.016,3.153,0.5141,12.64,0.9957,2.563,0.576,0.03512,0.7192,44.42,2.392,0.01148,0.3059,9.358,0.02082,0.6603,0.005901,0.3318,3.178,268.98,0.1411,0.03107,0.01292,3.327,0.8037,1.006,17.8,159.31,4.107,1.188,0.2008,0.522,0.0219,0.0095,0.93,1.139,0.0004784,1.957,1.797,10.55,1768.2,2.87,0.8444,0.0819,0.03008,2.02,0.00287,26.2,1.027,0.1896,17.6,0.02066,8.427,3.849,9.908,2.422,140.23,0.1115,13.19,0.7444,0.6841,23.34,0.3462,1.548,21.15,0.7274,0.325,0.01936,0.1067,0.5516,0.207,0.5379,4.916,3.256,0.3019,2.388,4.884,0.4884,0.3837,18.92
1,2021-10-03 10:00:00,47831.96,3391.93,0.2181,167.76,42.86,69.6,552.46,1.797,2.251,425.71,1.038,169.72,31.81,25.93,1.0,1.0,26.82,38.97,47860.13,49.72,1.305,69.17,0.3149,0.09429,56.1,53.13,0.1103,1.0,6.048,8.495,243.85,0.0,19.7,256.52,0.1793,0.1475,8.117,4.662,320.14,108.55,108.55,313.38,0.396,1.285,0.7261,1.461,42.48,7.91e-06,349.2,2.95,1.219,141.15,1.001,27.69,2503.94,6.31,0.003426,0.04912,337.09,7.888,8.539,175.21,18.92,55.63,0.2864,1.336,0.0177,0.172,114.94,115.56,0.1337,0.2923,0.00864,0.1613,1.0,0.7589,10.84,17.1,10.94,1.506,5.782,18.33,0.05512,7.203,2.704,31569.83,2.24,0.09962,13.94,0.7123,0.1112,17.86,57.45,1.303,1.001,0.01696,2.505,15.23,75.86,10.77,1.199,3.843,1.645,0.1425,1.026,1.081,0.01596,0.8565,0.04864,2.456,47831.96,5.14,0.08609,0.6643,0.7747,10.04,0.8066,0.4034,0.06298,6.414,1.015,3.149,0.5173,12.57,0.9953,2.56,0.5854,0.03506,0.7398,44.51,2.399,0.01148,0.3052,9.169,0.02076,0.6594,0.005834,0.3301,3.179,269.24,0.1411,0.03128,0.01291,3.327,0.7971,1.005,17.71,159.28,4.117,1.187,0.2005,0.52,0.02218,0.0094,0.773,1.136,0.0004783,1.972,1.804,10.54,1766.91,2.87,0.8447,0.08188,0.03022,2.01,0.00287,26.14,1.026,0.194,17.59,0.02061,8.385,3.846,9.987,2.424,140.82,0.1114,13.16,0.7446,0.6808,23.45,0.3416,1.552,21.03,0.7191,0.3267,0.01922,0.1043,0.5505,0.2081,0.5407,4.878,3.261,0.2969,2.384,4.891,0.5017,0.3846,18.97
2,2021-10-03 11:00:00,48009.01,3417.02,0.2215,170.77,43.25,70.19,569.39,1.831,2.277,429.02,1.054,171.05,32.12,26.17,1.001,0.9998,27.23,39.81,48043.3,50.2,1.325,69.84,0.3183,0.09508,56.63,54.09,0.1124,1.001,6.116,8.475,246.19,0.0,19.83,257.95,0.1805,0.1503,8.157,4.741,321.32,108.84,108.84,316.23,0.4044,1.304,0.7392,1.475,43.81,8.05e-06,352.39,2.946,1.219,144.89,1.002,27.73,2523.97,6.318,0.003454,0.0494,340.41,8.019,8.63,178.26,19.05,56.17,0.2897,1.346,0.0192,0.1737,115.8,116.9,0.1336,0.2943,0.00872,0.1633,1.0,0.7646,10.93,17.39,11.07,1.537,5.755,18.57,0.05549,7.264,2.715,31913.59,2.266,0.1011,13.95,0.7212,0.1118,18.03,58.72,1.312,1.01,0.01726,2.483,15.39,77.25,10.85,1.208,3.858,1.648,0.144,1.04,1.095,0.0164,0.8785,0.04962,2.452,48009.01,5.435,0.08718,0.6675,0.7781,10.07,0.8096,0.4086,0.06377,6.366,1.016,3.187,0.5204,12.71,1.004,2.528,0.5848,0.03556,0.7463,44.81,2.425,0.01152,0.3009,9.181,0.02088,0.6632,0.005877,0.336,3.204,272.96,0.1411,0.0317,0.01344,3.403,0.7962,1.002,17.65,160.64,4.143,1.2,0.1992,0.5261,0.02229,0.0095,0.76,1.137,0.0004801,1.98,1.826,10.65,1765.77,2.881,0.8627,0.083,0.03062,2.033,0.002881,26.48,1.03,0.1973,17.66,0.02077,8.568,3.898,10.0,2.443,141.27,0.1119,13.34,0.7345,0.6747,23.6,0.345,1.564,20.59,0.7261,0.3303,0.01948,0.1056,0.5511,0.2078,0.5447,4.931,3.308,0.3008,2.421,4.931,0.4825,0.3846,19.1
3,2021-10-03 12:00:00,48003.13,3411.15,0.2221,169.63,42.78,69.89,570.6,1.824,2.274,428.91,1.054,173.79,32.09,26.04,1.0,0.9998,27.17,39.35,48063.1,50.05,1.327,69.8,0.3186,0.09546,56.64,53.99,0.1129,1.001,6.126,8.47,246.02,0.0,19.82,258.21,0.181,0.1551,8.089,4.828,323.64,108.01,108.01,315.48,0.4016,1.299,0.7403,1.488,44.86,8.06e-06,353.77,2.938,1.215,146.12,1.002,27.68,2535.29,6.361,0.003481,0.04921,331.32,8.0,8.754,178.04,18.96,55.83,0.2902,1.34,0.0192,0.1737,115.54,116.74,0.1325,0.2933,0.008708,0.1638,1.0,0.7594,10.95,17.02,11.0,1.536,5.762,18.56,0.05529,7.378,2.692,31855.9,2.211,0.1009,13.86,0.7202,0.1121,18.0,58.61,1.31,1.0,0.01798,2.481,15.2,79.82,10.86,1.198,3.854,1.662,0.143,1.028,1.091,0.01645,0.8779,0.0495,2.451,48003.13,5.804,0.0871,0.6686,0.7757,10.06,0.8064,0.4067,0.0637,6.288,1.015,3.157,0.5171,12.7,1.005,2.549,0.5789,0.03576,0.7419,44.76,2.413,0.01152,0.3036,9.179,0.02026,0.6642,0.005867,0.3352,3.185,272.93,0.1416,0.03118,0.01344,3.479,0.8016,1.019,17.61,160.38,4.16,1.201,0.1944,0.5213,0.0223,0.0095,0.76,1.138,0.00048,1.935,1.818,10.62,1767.0,2.794,0.8555,0.08279,0.03043,2.071,0.00288,26.39,1.03,0.1973,17.76,0.02072,8.513,3.894,10.0,2.43,140.55,0.1118,13.38,0.7288,0.6778,23.8,0.3442,1.564,20.59,0.7252,0.3288,0.01934,0.1051,0.552,0.2067,0.5424,4.949,3.341,0.3004,2.43,4.885,0.4776,0.3864,19.13
4,2021-10-03 13:00:00,48087.18,3439.65,0.2232,172.24,43.5,70.5,574.16,1.928,2.289,431.42,1.082,177.08,32.62,26.28,1.0,1.0,27.55,39.62,48120.7,50.37,1.34,70.13,0.3216,0.09641,57.25,54.27,0.1134,1.001,6.188,8.666,247.47,0.0,19.85,259.67,0.1809,0.1668,8.276,4.797,323.76,107.74,107.74,321.98,0.4021,1.315,0.7478,1.538,45.87,8.14e-06,355.68,2.949,1.234,145.66,1.002,27.8,2556.94,6.301,0.003493,0.04895,331.46,8.043,8.807,179.65,19.05,55.78,0.2918,1.347,0.01875,0.1741,116.8,117.96,0.1319,0.2962,0.008741,0.1659,1.0,0.7646,11.13,16.69,11.14,1.547,5.78,18.61,0.05555,7.449,2.761,32024.51,2.202,0.1017,13.61,0.7285,0.1126,18.01,59.1,1.321,1.01,0.01981,2.49,15.21,79.87,11.0,1.192,3.859,1.695,0.1447,1.023,1.109,0.0166,0.9191,0.04935,2.463,48010.24,5.623,0.08795,0.6687,0.7863,10.12,0.7992,0.4099,0.06406,6.319,1.014,3.142,0.5194,12.52,1.005,2.557,0.5814,0.03675,0.744,44.87,2.481,0.01154,0.2993,9.199,0.02064,0.6645,0.005847,0.343,3.209,272.65,0.1414,0.03078,0.01346,3.35,0.7946,1.012,17.72,161.43,4.163,1.214,0.2005,0.5156,0.0224,0.0096,0.9189,1.145,0.0004809,1.956,1.827,10.61,1769.84,2.9,0.8582,0.08372,0.03058,2.077,0.002885,26.54,1.032,0.1969,17.71,0.02096,8.585,3.973,10.05,2.427,140.8,0.1125,13.8,0.7141,0.6708,23.7,0.3435,1.571,20.35,0.7316,0.3312,0.0194,0.1068,0.554,0.21,0.5435,4.957,3.337,0.3011,2.461,5.025,0.4895,0.3857,19.19
5,2021-10-03 14:00:00,47984.27,3425.76,0.2219,170.73,44.02,71.11,569.57,1.939,2.28,429.64,1.072,175.23,32.22,26.05,0.9996,1.0,27.33,39.27,48032.25,50.14,1.325,69.79,0.3182,0.09541,56.71,54.12,0.1126,1.001,6.142,8.641,246.54,0.0,19.77,260.07,0.1807,0.1619,8.129,4.757,323.75,108.62,108.62,318.56,0.3998,1.299,0.7495,1.517,45.44,8.06e-06,352.29,2.95,1.23,144.72,1.002,27.58,2544.71,6.295,0.003488,0.04927,329.78,7.986,8.643,177.73,18.83,55.85,0.2903,1.34,0.01823,0.173,116.7,116.99,0.1319,0.2946,0.008759,0.1655,1.0,0.7619,10.99,16.66,11.03,1.535,5.769,18.6,0.05526,7.241,2.851,31886.57,2.209,0.1009,13.6,0.7272,0.112,17.97,59.02,1.315,0.99,0.01918,2.462,15.2,79.32,10.96,1.192,3.854,1.69,0.144,1.02,1.095,0.01646,0.909,0.04928,2.492,47984.27,5.503,0.08769,0.6708,0.7852,10.13,0.7999,0.4107,0.06361,6.267,1.015,3.117,0.5197,12.52,1.004,2.5,0.5838,0.03716,0.7455,44.7,2.471,0.01152,0.2963,9.149,0.02055,0.6629,0.005824,0.3385,3.209,272.85,0.1416,0.03105,0.01344,3.398,0.8119,1.059,17.59,161.99,4.152,1.23,0.2107,0.5155,0.02235,0.0095,0.9189,1.138,0.0004798,1.926,1.825,10.59,1766.55,2.894,0.8604,0.08417,0.03056,2.061,0.002879,26.75,1.03,0.1955,17.67,0.0209,8.559,4.056,10.06,2.419,140.38,0.1132,13.57,0.7239,0.6705,23.67,0.3408,1.549,19.95,0.7293,0.3388,0.01963,0.1065,0.5523,0.2109,0.5423,4.942,3.309,0.3006,2.42,5.005,0.4834,0.3848,19.06
6,2021-10-03 15:00:00,47909.0,3406.29,0.22,169.37,43.23,70.04,566.3,1.906,2.268,426.75,1.062,172.63,31.96,25.94,1.0,1.001,26.97,38.57,47956.91,49.65,1.312,68.97,0.3143,0.09467,56.32,53.45,0.1106,1.001,6.073,8.464,244.91,0.0,19.7,259.81,0.1792,0.1697,8.034,4.716,320.15,117.39,117.39,314.46,0.3937,1.285,0.7415,1.495,44.71,8.02e-06,348.68,2.961,1.217,143.44,1.003,27.02,2525.17,6.241,0.003455,0.04913,329.21,7.938,8.633,175.97,20.69,54.47,0.288,1.326,0.01868,0.1708,115.89,115.94,0.1301,0.2916,0.008707,0.1636,1.001,0.752,10.84,16.3,10.9,1.52,5.753,18.61,0.05505,7.325,2.919,31600.51,2.154,0.09991,13.32,0.7253,0.1108,17.87,58.31,1.308,0.9996,0.01914,2.419,15.09,79.19,10.86,1.17,3.823,1.668,0.1418,1.012,1.055,0.01641,0.8992,0.04909,2.432,47909.0,5.486,0.08636,0.6646,0.7981,10.12,0.795,0.4181,0.06318,6.41,1.016,3.091,0.5164,12.46,0.9958,2.417,0.5789,0.03673,0.7365,44.4,2.433,0.0115,0.2882,8.97,0.02085,0.6571,0.005723,0.3359,3.178,273.21,0.1413,0.03067,0.01341,3.362,0.7962,1.06,17.57,161.41,4.129,1.212,0.2061,0.5094,0.02232,0.0094,0.9,1.125,0.0004791,1.918,1.799,10.44,1767.08,2.889,0.8509,0.08328,0.03028,2.038,0.002875,26.36,1.028,0.1931,17.43,0.02057,8.444,4.037,9.831,2.419,140.12,0.1121,13.72,0.6984,0.6702,23.41,0.3387,1.536,19.8,0.7242,0.3378,0.01959,0.1064,0.5533,0.2072,0.5392,4.874,3.261,0.2996,2.397,4.959,0.4755,0.3818,18.93
7,2021-10-03 16:00:00,48069.83,3422.72,0.2212,170.55,43.66,69.89,568.73,1.91,2.272,429.79,1.069,174.33,32.0,26.19,1.0,0.9999,27.1,38.82,48117.9,49.92,1.321,69.47,0.3154,0.09501,56.57,53.89,0.1118,1.001,6.123,8.325,245.64,0.0,19.77,261.31,0.18,0.1691,8.095,4.731,321.2,122.54,122.54,314.85,0.3979,1.296,0.7406,1.5,44.8,8.45e-06,349.86,2.952,1.224,144.21,1.001,27.17,2552.18,6.266,0.003468,0.04885,329.05,8.146,8.739,177.14,21.15,55.33,0.2895,1.332,0.01875,0.1723,116.71,116.86,0.1291,0.2951,0.008682,0.1638,1.001,0.7554,10.97,16.38,10.94,1.526,5.736,18.65,0.05528,7.225,2.921,31650.31,2.165,0.1001,13.38,0.7296,0.1111,17.91,58.36,1.314,0.99,0.01934,2.406,15.25,78.93,10.8,1.193,3.843,1.657,0.1437,1.011,1.063,0.01653,0.9046,0.0491,1.513,47992.92,5.444,0.0868,0.6657,0.8099,10.2,0.7976,0.4235,0.06364,6.432,1.015,3.121,0.5185,12.29,1.005,2.33,0.5769,0.03712,0.7368,44.42,2.452,0.01154,0.2888,8.993,0.02102,0.6613,0.005716,0.3367,3.217,272.49,0.1418,0.03056,0.01346,3.378,0.8009,1.06,17.63,161.51,4.15,1.222,0.2095,0.5104,0.02233,0.0095,0.9249,1.124,0.0004807,1.94,1.804,10.49,1770.41,2.899,0.8604,0.08327,0.03036,2.036,0.002884,26.4,1.032,0.1942,17.49,0.02065,8.507,4.06,10.23,2.427,140.32,0.1125,13.62,0.715,0.6696,23.52,0.3402,1.544,20.11,0.7311,0.3355,0.01958,0.1077,0.5533,0.2068,0.5408,4.894,3.282,0.3018,2.424,5.007,0.4679,0.3841,18.99
8,2021-10-03 17:00:00,48929.98,3464.79,0.2235,173.49,43.69,70.12,577.13,1.923,2.296,433.55,1.082,176.97,32.38,26.38,1.0,1.0,27.52,39.23,48929.98,50.5,1.337,70.2,0.3177,0.09565,57.52,54.61,0.1131,1.001,6.185,8.523,248.56,0.0,20.0,261.87,0.1828,0.1732,8.142,4.764,325.63,124.69,124.69,320.84,0.4029,1.305,0.7518,1.51,45.05,8.83e-06,353.81,2.958,1.238,146.35,1.004,27.39,2558.37,6.304,0.003496,0.04916,331.05,8.162,8.749,179.28,21.11,56.76,0.2929,1.345,0.01957,0.178,119.1,117.73,0.1298,0.2965,0.008689,0.1655,0.9991,0.7613,11.04,16.29,11.05,1.539,5.793,18.74,0.05596,7.755,2.921,31958.84,2.188,0.1008,13.56,0.7333,0.1123,17.85,59.35,1.33,0.9986,0.01923,2.427,15.33,78.68,10.93,1.207,3.87,1.679,0.1439,1.019,1.103,0.01684,0.9093,0.04942,2.392,48900.62,5.474,0.08765,0.6784,0.8143,10.18,0.7986,0.4253,0.06385,6.444,1.015,3.118,0.5221,12.27,0.9946,2.452,0.5695,0.03712,0.7353,45.04,2.492,0.01174,0.291,9.019,0.02117,0.6694,0.005821,0.3416,3.232,271.67,0.1443,0.03045,0.01321,3.382,0.8004,1.011,17.73,165.53,4.215,1.231,0.2089,0.5133,0.02265,0.0096,0.9,1.14,0.0004893,1.974,1.822,10.58,1770.78,2.851,0.87,0.08333,0.0308,2.062,0.002936,26.71,1.05,0.1967,17.48,0.02078,8.639,4.059,10.38,2.468,141.01,0.113,14.03,0.7108,0.6743,23.69,0.3395,1.551,21.0,0.739,0.3369,0.01949,0.1067,0.5516,0.2086,0.5436,4.952,3.313,0.3042,2.451,5.225,0.4695,0.3821,19.12
9,2021-10-03 18:00:00,48871.04,3467.67,0.2238,173.98,43.53,70.03,575.04,1.95,2.296,435.97,1.082,175.96,32.42,26.46,1.001,1.0,27.87,39.47,48871.04,50.75,1.333,70.12,0.319,0.09591,57.94,54.52,0.1129,1.001,6.204,8.333,250.75,0.0,19.98,260.63,0.1823,0.1678,8.176,4.73,325.44,125.39,125.39,316.84,0.4002,1.302,0.749,1.519,45.03,8.72e-06,352.22,2.946,1.234,145.54,1.003,27.53,2592.16,6.377,0.003548,0.04938,330.21,8.186,8.937,180.09,21.35,56.4,0.2945,1.342,0.01808,0.1814,119.64,117.93,0.1309,0.2981,0.009157,0.1697,1.0,0.7673,11.03,16.48,11.08,1.543,5.762,18.92,0.05569,7.424,2.901,32011.56,2.17,0.1007,13.56,0.7342,0.1131,17.93,59.33,1.332,1.0,0.01931,2.427,15.29,78.19,10.95,1.221,3.883,1.671,0.1437,1.022,1.11,0.0168,0.9047,0.04985,2.403,48866.15,6.028,0.08742,0.6767,0.8086,10.18,0.799,0.4194,0.06387,6.446,1.017,3.15,0.5222,12.39,1.005,2.354,0.57,0.03685,0.7372,44.76,2.482,0.01173,0.2968,9.12,0.02074,0.6675,0.005791,0.3422,3.227,274.57,0.1437,0.03091,0.0132,3.384,0.8025,1.011,17.76,167.38,4.215,1.227,0.2108,0.5098,0.02225,0.0097,0.8665,1.145,0.0004887,1.969,1.829,10.86,1769.13,2.916,0.866,0.0835,0.03072,2.064,0.002932,26.95,1.049,0.1945,17.46,0.0209,8.599,4.045,10.39,2.462,141.46,0.1134,14.03,0.7161,0.6744,23.76,0.3406,1.549,21.79,0.7397,0.3436,0.01951,0.108,0.5615,0.2145,0.543,4.975,3.313,0.3052,2.479,5.247,0.4695,0.3856,19.15
